TRANS_ID,PROD_KEY,STORE_KEY,TRANS_DT,TRANS_TIME,SALES_QTY,SALES_PRICE,SALES_AMT,DISCOUNT,SALES_COST,SALES_MGRN,SHIP_COST
27,11,11,2020-02-24,8,4,11.07,44.28,0.09,39.85,4.43,1.82
28,69,14,2020-01-14,6,8,2.13,17.04,0.16,15.34,1.7,4.79
29,84,4,2020-03-23,10,3,4.87,14.61,0.07,13.15,1.46,2.2
30,61,17,2020-03-07,2,7,8.35,58.45,0.14,52.61,5.84,2.41
31,61,44,2020-02-06,11,9,10.48,94.32,0.09,84.89,9.43,1.5
32,63,7,2020-01-19,2,5,4.62,23.1,0.14,20.79,2.31,2.81
33,53,43,2020-02-09,12,10,16.03,160.3,0.13,144.27,16.03,0.92
34,36,48,2020-01-06,3,2,14.2,28.4,0.17,25.56,2.84,2.46
35,87,31,2020-03-31,12,5,16.95,84.75,0.18,76.28,8.47,4.26
36,54,28,2020-03-05,13,7,2.76,19.32,0.01,17.39,1.93,2.73
37,2,32,2020-01-17,10,1,14.11,14.11,0.15,12.7,1.41,2.9
38,43,39,2020-02-16,14,4,1.04,4.16,0.17,3.74,0.42,4.97
39,74,6,2020-03-13,10,10,14.82,148.2,0.06,133.38,14.82,1.42
40,38,50,2020-01-01,8,9,16.4,147.6,0.02,132.84,14.76,2.64
41,23,24,2020-03-10,18,6,14.05,84.3,0.07,75.87,8.43,1.58
42,88,18,2020-02-05,6,10,5.18,51.8,0.18,46.62,5.18,2.83
43,69,34,2020-02-17,19,1,11.73,11.73,0.03,10.56,1.17,3.75
44,81,23,2020-01-17,9,7,19.18,134.26,0.09,120.83,13.43,0.6
45,18,39,2020-03-18,12,8,12.12,96.96,0.18,87.26,9.7,2.64
46,7,23,2020-03-07,17,3,1.93,5.79,0.18,5.21,0.58,2.77
47,25,48,2020-03-20,23,8,10.79,86.32,0.16,77.69,8.63,1.8
48,70,47,2020-03-24,1,2,13.86,27.72,0.18,24.95,2.77,0.92
49,70,16,2020-03-30,0,6,1.69,10.14,0.11,9.13,1.01,0.81
50,5,34,2020-01-07,3,8,18.53,148.24,0.15,133.42,14.82,4.77
51,97,35,2020-01-24,21,9,3.41,30.69,0.18,27.62,3.07,1.34
52,87,21,2020-03-25,23,4,7.44,29.76,0.12,26.78,2.98,1.53
53,45,27,2020-02-25,2,4,15.77,63.08,0.07,56.77,6.31,0.87
54,99,5,2020-03-25,9,8,9.49,75.92,0.16,68.33,7.59,2.13
55,59,3,2020-03-17,16,2,12.95,25.9,0.01,23.31,2.59,4.33
56,71,20,2020-03-16,15,5,10.27,51.35,0.1,46.22,5.13,2.49
57,33,16,2020-01-09,4,10,2.47,24.7,0.06,22.23,2.47,2.53
58,65,21,2020-02-02,16,5,1.44,7.2,0.19,6.48,0.72,1.38
59,79,28,2020-02-07,8,8,1.43,11.44,0.15,10.3,1.14,0.55
60,97,26,2020-04-07,4,10,18.04,180.4,0.0,162.36,18.04,1.57
61,95,2,2020-01-30,13,9,1.39,12.51,0.02,11.26,1.25,1.72
62,82,28,2020-02-14,10,5,10.21,51.05,0.0,45.95,5.1,4.64
63,96,21,2020-04-05,14,7,8.15,57.05,0.11,51.34,5.71,4.03
64,35,29,2020-02-12,11,6,14.02,84.12,0.17,75.71,8.41,2.38
65,57,7,2020-04-03,21,6,8.02,48.12,0.15,43.31,4.81,0.54
66,92,17,2020-03-10,8,9,4.03,36.27,0.04,32.64,3.63,4.24
67,50,3,2020-01-09,18,8,10.92,87.36,0.13,78.62,8.74,2.24
68,93,2,2020-03-09,20,4,12.49,49.96,0.1,44.96,5.0,3.87
69,20,21,2020-03-01,18,2,10.82,21.64,0.1,19.48,2.16,1.93
70,64,2,2020-03-10,17,1,19.91,19.91,0.18,17.92,1.99,2.99
71,46,20,2020-04-04,17,1,2.18,2.18,0.16,1.96,0.22,0.94
72,71,26,2020-04-09,13,1,15.96,15.96,0.13,14.36,1.6,4.77
73,27,37,2020-03-16,21,8,5.68,45.44,0.06,40.9,4.54,1.92
74,52,1,2020-02-17,10,1,13.24,13.24,0.03,11.92,1.32,2.28
75,8,26,2020-01-21,1,1,14.48,14.48,0.05,13.03,1.45,4.2
76,73,6,2020-01-12,13,9,19.04,171.36,0.18,154.22,17.14,3.19
77,45,42,2020-02-04,9,3,12.46,37.38,0.08,33.64,3.74,3.82
78,26,25,2020-04-02,12,8,11.14,89.12,0.17,80.21,8.91,3.8
79,65,50,2020-02-21,3,4,9.7,38.8,0.04,34.92,3.88,3.43
80,46,11,2020-03-14,2,9,19.41,174.69,0.08,157.22,17.47,3.52
81,14,28,2020-01-16,7,2,2.9,5.8,0.16,5.22,0.58,3.64
82,25,8,2020-02-05,6,8,15.67,125.36,0.04,112.82,12.54,3.52
83,79,23,2020-03-18,3,5,15.46,77.3,0.06,69.57,7.73,1.18
84,13,10,2020-01-24,18,6,6.04,36.24,0.18,32.62,3.62,2.72
85,93,38,2020-02-26,16,8,12.12,96.96,0.17,87.26,9.7,3.04
86,78,5,2020-01-09,0,2,6.4,12.8,0.15,11.52,1.28,2.34
87,35,24,2020-02-04,8,9,13.5,121.5,0.13,109.35,12.15,2.76
88,69,14,2020-01-02,8,3,12.91,38.73,0.13,34.86,3.87,2.0
89,78,2,2020-03-11,6,10,2.11,21.1,0.1,18.99,2.11,1.52
90,45,3,2020-02-14,17,10,19.96,199.6,0.04,179.64,19.96,2.13
91,30,27,2020-01-09,4,1,6.37,6.37,0.01,5.73,0.64,3.25
92,63,7,2020-03-09,7,3,12.8,38.4,0.04,34.56,3.84,0.91
93,38,39,2020-01-21,21,1,8.75,8.75,0.13,7.88,0.87,4.37
94,21,48,2020-02-27,2,2,3.93,7.86,0.12,7.07,0.79,4.41
95,47,24,2020-01-25,21,9,19.42,174.78,0.01,157.3,17.48,4.67
96,52,3,2020-01-06,20,10,19.82,198.2,0.19,178.38,19.82,2.81
97,96,27,2020-01-27,22,6,7.82,46.92,0.15,42.23,4.69,3.75
98,83,40,2020-02-18,3,7,12.51,87.57,0.15,78.81,8.76,2.64
99,71,3,2020-01-11,10,3,4.76,14.28,0.16,12.85,1.43,0.74
100,33,37,2020-03-25,4,8,4.71,37.68,0.02,33.91,3.77,0.96
101,40,21,2020-01-31,20,7,16.79,117.53,0.15,105.78,11.75,4.56
102,36,48,2020-02-25,2,3,2.54,7.62,0.1,6.86,0.76,1.59
103,49,50,2020-03-17,8,9,3.49,31.41,0.19,28.27,3.14,2.56
104,93,15,2020-02-09,18,10,9.49,94.9,0.18,85.41,9.49,3.0
105,36,18,2020-02-20,11,4,11.04,44.16,0.18,39.74,4.42,3.13
106,5,50,2020-01-23,9,4,16.03,64.12,0.02,57.71,6.41,4.54
107,65,40,2020-01-17,22,10,5.67,56.7,0.15,51.03,5.67,2.7
108,41,48,2020-03-01,2,6,10.33,61.98,0.04,55.78,6.2,0.66
109,73,6,2020-03-12,21,5,7.84,39.2,0.15,35.28,3.92,1.5
110,2,23,2020-02-28,21,8,8.51,68.08,0.12,61.27,6.81,0.72
111,45,31,2020-02-27,23,3,6.97,20.91,0.18,18.82,2.09,4.54
112,41,16,2020-01-27,20,4,16.49,65.96,0.09,59.36,6.6,2.96
113,66,28,2020-01-25,0,6,2.52,15.12,0.14,13.61,1.51,1.01
114,99,29,2020-03-18,7,3,6.69,20.07,0.04,18.06,2.01,2.19
115,88,14,2020-02-09,22,9,4.25,38.25,0.02,34.43,3.82,4.95
116,64,8,2020-04-02,12,7,1.01,7.07,0.1,6.36,0.71,1.75
117,91,30,2020-02-09,19,5,7.38,36.9,0.2,33.21,3.69,1.97
118,21,50,2020-03-27,3,8,12.01,96.08,0.04,86.47,9.61,4.75
119,46,46,2020-01-26,13,1,16.66,16.66,0.04,14.99,1.67,2.93
120,37,31,2020-04-08,6,9,10.66,95.94,0.18,86.35,9.59,4.92
121,31,36,2020-03-10,15,8,18.94,151.52,0.1,136.37,15.15,1.39
122,2,31,2020-01-08,18,2,9.34,18.68,0.1,16.81,1.87,0.59
123,89,9,2020-04-08,20,10,8.49,84.9,0.16,76.41,8.49,3.71
124,73,15,2020-03-13,3,9,8.03,72.27,0.04,65.04,7.23,3.6
125,97,25,2020-01-05,19,1,9.23,9.23,0.13,8.31,0.92,1.46
126,32,6,2020-01-08,21,2,6.35,12.7,0.15,11.43,1.27,1.04
127,11,41,2020-02-15,11,2,15.21,30.42,0.14,27.38,3.04,1.5
128,88,34,2020-01-16,18,1,14.53,14.53,0.15,13.08,1.45,2.49
129,74,29,2020-03-04,14,1,14.28,14.28,0.01,12.85,1.43,2.36
130,37,4,2020-02-22,18,8,3.05,24.4,0.15,21.96,2.44,2.8
131,2,21,2020-01-31,11,7,14.0,98.0,0.14,88.2,9.8,3.49
132,34,3,2020-03-11,5,5,1.2,6.0,0.16,5.4,0.6,3.24
133,38,22,2020-02-22,13,6,7.13,42.78,0.0,38.5,4.28,2.07
134,28,25,2020-04-09,10,3,16.74,50.22,0.19,45.2,5.02,1.76
135,12,31,2020-01-10,13,3,3.58,10.74,0.14,9.67,1.07,0.51
136,61,41,2020-03-09,14,1,9.21,9.21,0.04,8.29,0.92,2.73
137,22,38,2020-01-31,14,9,1.18,10.62,0.15,9.56,1.06,4.68
138,23,29,2020-02-21,9,4,5.36,21.44,0.19,19.3,2.14,4.57
139,94,19,2020-02-29,3,10,2.87,28.7,0.18,25.83,2.87,2.72
140,28,1,2020-01-18,3,3,6.42,19.26,0.1,17.33,1.93,3.57
141,89,27,2020-02-27,19,7,7.07,49.49,0.0,44.54,4.95,2.23
142,86,37,2020-02-24,6,1,8.88,8.88,0.1,7.99,0.89,4.08
143,13,15,2020-03-30,4,6,18.12,108.72,0.04,97.85,10.87,2.03
144,48,50,2020-01-19,15,5,12.34,61.7,0.01,55.53,6.17,4.57
145,66,38,2020-03-25,11,6,16.54,99.24,0.06,89.32,9.92,4.49
146,8,37,2020-03-19,1,5,3.42,17.1,0.12,15.39,1.71,1.41
147,37,12,2020-02-26,8,4,18.54,74.16,0.02,66.74,7.42,4.32
148,75,23,2020-03-14,13,7,8.12,56.84,0.06,51.16,5.68,2.76
149,29,40,2020-01-13,5,1,13.81,13.81,0.17,12.43,1.38,1.03
150,36,10,2020-03-27,6,6,14.48,86.88,0.13,78.19,8.69,0.91
151,50,12,2020-03-22,4,10,8.57,85.7,0.08,77.13,8.57,2.37
152,42,16,2020-01-28,23,7,19.61,137.27,0.15,123.54,13.73,4.09
153,36,50,2020-02-13,16,5,17.86,89.3,0.07,80.37,8.93,4.62
154,78,1,2020-01-25,20,4,11.47,45.88,0.04,41.29,4.59,4.48
155,13,20,2020-02-08,13,10,16.57,165.7,0.17,149.13,16.57,4.18
156,71,16,2020-02-19,15,2,10.67,21.34,0.19,19.21,2.13,2.69
157,12,39,2020-03-19,0,4,11.24,44.96,0.06,40.46,4.5,1.5
158,42,12,2020-01-06,5,1,10.76,10.76,0.08,9.68,1.08,4.26
159,48,31,2020-03-21,18,9,14.17,127.53,0.19,114.78,12.75,1.87
160,28,14,2020-02-29,22,10,9.14,91.4,0.05,82.26,9.14,2.74
161,6,10,2020-04-03,18,6,3.95,23.7,0.17,21.33,2.37,2.88
162,68,6,2020-02-01,5,8,4.57,36.56,0.14,32.9,3.66,4.95
163,80,46,2020-02-13,19,5,8.78,43.9,0.14,39.51,4.39,1.89
164,72,23,2020-03-18,2,10,1.63,16.3,0.09,14.67,1.63,1.17
165,49,49,2020-04-03,18,6,8.07,48.42,0.18,43.58,4.84,4.95
166,83,27,2020-02-02,5,9,7.83,70.47,0.02,63.42,7.05,2.9
167,60,12,2020-01-02,13,10,4.54,45.4,0.05,40.86,4.54,1.22
168,66,13,2020-02-04,21,8,12.79,102.32,0.01,92.09,10.23,1.35
169,14,40,2020-01-08,19,4,3.63,14.52,0.14,13.07,1.45,1.12
170,78,29,2020-02-10,16,6,9.67,58.02,0.07,52.22,5.8,0.53
171,57,37,2020-04-01,17,1,7.84,7.84,0.12,7.06,0.78,1.97
172,21,18,2020-02-12,12,7,6.27,43.89,0.02,39.5,4.39,1.96
173,44,16,2020-03-09,8,9,4.21,37.89,0.02,34.1,3.79,4.52
174,98,34,2020-01-20,15,9,15.08,135.72,0.07,122.15,13.57,3.14
175,48,10,2020-02-22,23,5,11.24,56.2,0.01,50.58,5.62,2.23
176,42,28,2020-04-04,15,6,2.54,15.24,0.06,13.72,1.52,3.91
177,7,4,2020-02-24,16,9,15.05,135.45,0.19,121.9,13.55,0.6
178,23,44,2020-01-07,1,9,3.55,31.95,0.04,28.75,3.2,1.93
179,53,49,2020-03-12,16,6,19.01,114.06,0.11,102.65,11.41,2.87
180,20,5,2020-02-15,3,1,14.78,14.78,0.1,13.3,1.48,3.88
181,52,3,2020-04-01,4,3,11.16,33.48,0.06,30.13,3.35,1.21
182,49,28,2020-03-13,22,6,14.59,87.54,0.0,78.79,8.75,3.8
183,58,5,2020-02-06,12,10,2.61,26.1,0.1,23.49,2.61,3.42
184,82,18,2020-04-04,15,10,13.2,132.0,0.2,118.8,13.2,2.37
185,30,32,2020-02-10,13,4,19.42,77.68,0.08,69.91,7.77,2.65
186,100,31,2020-04-09,22,4,1.44,5.76,0.16,5.18,0.58,3.09
187,36,21,2020-01-10,14,3,13.78,41.34,0.17,37.21,4.13,0.96
188,4,33,2020-03-28,5,9,11.25,101.25,0.03,91.12,10.13,1.28
189,66,50,2020-04-04,10,3,16.06,48.18,0.03,43.36,4.82,2.22
190,25,24,2020-03-24,13,4,8.04,32.16,0.02,28.94,3.22,2.57
191,74,35,2020-03-26,22,5,12.73,63.65,0.06,57.28,6.37,0.6
192,23,15,2020-03-04,3,10,1.7,17.0,0.06,15.3,1.7,1.94
193,34,23,2020-02-25,9,6,5.12,30.72,0.14,27.65,3.07,3.86
194,52,14,2020-01-24,6,8,8.32,66.56,0.19,59.9,6.66,4.57
195,75,49,2020-03-26,20,7,11.03,77.21,0.13,69.49,7.72,3.08
196,63,41,2020-03-23,18,10,8.6,86.0,0.1,77.4,8.6,4.17
197,66,23,2020-02-10,2,2,11.04,22.08,0.03,19.87,2.21,3.12
198,71,40,2020-01-07,12,3,19.68,59.04,0.15,53.14,5.9,2.62
199,32,17,2020-04-04,6,3,10.63,31.89,0.18,28.7,3.19,4.38
200,42,20,2020-03-17,12,1,9.48,9.48,0.13,8.53,0.95,1.98
201,41,20,2020-03-05,3,4,4.32,17.28,0.18,15.55,1.73,4.41
202,57,32,2020-01-14,21,8,19.32,154.56,0.19,139.1,15.46,3.91
203,87,15,2020-01-16,12,3,12.29,36.87,0.16,33.18,3.69,2.73
204,99,16,2020-01-15,5,9,13.27,119.43,0.06,107.49,11.94,4.26
205,52,49,2020-01-07,20,6,8.88,53.28,0.03,47.95,5.33,4.11
206,11,49,2020-02-04,15,1,8.67,8.67,0.01,7.8,0.87,1.64
207,90,10,2020-02-17,14,5,4.45,22.25,0.06,20.03,2.22,0.59
208,94,7,2020-01-05,23,2,7.37,14.74,0.2,13.27,1.47,0.91
209,2,14,2020-02-19,4,8,10.76,86.08,0.15,77.47,8.61,2.1
210,67,24,2020-04-04,20,2,5.63,11.26,0.03,10.13,1.13,3.56
211,75,4,2020-03-11,8,7,7.3,51.1,0.12,45.99,5.11,4.41
212,5,46,2020-03-22,10,1,12.69,12.69,0.02,11.42,1.27,0.89
213,14,29,2020-02-08,7,5,7.78,38.9,0.11,35.01,3.89,4.27
214,91,20,2020-03-10,23,7,18.34,128.38,0.14,115.54,12.84,1.13
215,28,31,2020-01-01,17,3,2.02,6.06,0.07,5.45,0.61,4.55
216,90,40,2020-01-21,10,7,17.07,119.49,0.2,107.54,11.95,1.03
217,48,45,2020-02-29,23,1,8.08,8.08,0.1,7.27,0.81,3.21
218,21,38,2020-02-12,12,5,14.78,73.9,0.16,66.51,7.39,3.25
219,40,42,2020-01-31,8,1,5.58,5.58,0.17,5.02,0.56,4.94
220,40,9,2020-03-19,19,7,10.77,75.39,0.11,67.85,7.54,1.79
221,28,48,2020-02-07,9,4,4.87,19.48,0.15,17.53,1.95,3.66
222,89,20,2020-02-04,8,10,8.87,88.7,0.05,79.83,8.87,4.31
223,71,42,2020-01-19,6,5,16.94,84.7,0.01,76.23,8.47,2.67
224,56,31,2020-02-05,13,8,18.15,145.2,0.1,130.68,14.52,1.46
225,67,14,2020-02-20,20,8,1.13,9.04,0.19,8.14,0.9,4.86
226,38,27,2020-03-30,21,4,1.39,5.56,0.06,5.0,0.56,4.48
227,86,20,2020-03-16,8,7,10.96,76.72,0.06,69.05,7.67,4.77
228,26,21,2020-03-15,14,3,15.0,45.0,0.04,40.5,4.5,4.19
229,49,42,2020-02-03,16,9,1.97,17.73,0.16,15.96,1.77,4.95
230,83,45,2020-03-27,7,9,3.62,32.58,0.17,29.32,3.26,1.66
231,73,7,2020-01-27,23,9,12.24,110.16,0.09,99.14,11.02,1.33
232,61,34,2020-02-20,13,8,1.74,13.92,0.05,12.53,1.39,2.35
233,33,32,2020-01-06,4,9,12.6,113.4,0.17,102.06,11.34,3.01
234,22,25,2020-03-14,19,2,11.88,23.76,0.06,21.38,2.38,3.58
235,49,12,2020-01-05,1,3,1.54,4.62,0.03,4.16,0.46,2.63
236,11,15,2020-03-24,1,3,3.25,9.75,0.03,8.78,0.97,4.81
237,57,19,2020-03-23,17,3,9.74,29.22,0.08,26.3,2.92,0.98
238,12,31,2020-01-26,3,2,18.93,37.86,0.08,34.07,3.79,1.76
239,32,1,2020-01-23,14,6,8.53,51.18,0.01,46.06,5.12,3.07
240,54,27,2020-03-31,12,9,15.19,136.71,0.13,123.04,13.67,1.9
241,99,19,2020-04-02,3,5,7.03,35.15,0.04,31.63,3.52,1.57
242,73,40,2020-04-05,4,7,8.51,59.57,0.05,53.61,5.96,2.43
243,81,35,2020-03-19,22,8,17.1,136.8,0.13,123.12,13.68,1.75
244,58,3,2020-02-17,5,3,13.22,39.66,0.14,35.69,3.97,1.45
245,23,42,2020-03-23,3,7,15.69,109.83,0.13,98.85,10.98,1.47
246,28,46,2020-02-14,14,3,8.21,24.63,0.18,22.17,2.46,1.2
247,82,32,2020-03-19,21,7,1.21,8.47,0.05,7.62,0.85,3.86
248,89,45,2020-03-16,22,1,1.08,1.08,0.02,0.97,0.11,1.91
249,30,44,2020-03-05,11,5,17.15,85.75,0.12,77.17,8.58,2.43
250,98,20,2020-01-26,7,8,13.42,107.36,0.14,96.62,10.74,3.62
251,97,42,2020-02-09,13,9,7.27,65.43,0.03,58.89,6.54,4.65
252,86,23,2020-04-03,8,2,2.14,4.28,0.03,3.85,0.43,4.41
253,4,2,2020-03-09,4,3,11.0,33.0,0.18,29.7,3.3,4.3
254,81,5,2020-01-24,3,10,13.27,132.7,0.06,119.43,13.27,4.78
255,32,23,2020-01-30,17,3,18.3,54.9,0.09,49.41,5.49,1.25
256,52,31,2020-02-14,12,1,9.99,9.99,0.11,8.99,1.0,1.27
257,31,27,2020-01-08,2,1,18.67,18.67,0.01,16.8,1.87,4.06
258,10,38,2020-01-27,16,1,11.74,11.74,0.16,10.57,1.17,4.86
259,84,21,2020-02-14,9,8,15.43,123.44,0.05,111.1,12.34,2.55
260,52,50,2020-01-20,9,10,5.68,56.8,0.14,51.12,5.68,1.04
261,7,4,2020-01-20,22,7,13.43,94.01,0.19,84.61,9.4,0.85
262,28,45,2020-03-24,15,4,5.64,22.56,0.03,20.3,2.26,1.13
263,67,4,2020-03-07,9,10,19.68,196.8,0.18,177.12,19.68,3.2
264,98,48,2020-02-04,11,4,17.87,71.48,0.14,64.33,7.15,3.06
265,33,22,2020-02-09,1,10,18.95,189.5,0.13,170.55,18.95,4.77
266,40,30,2020-01-26,21,4,2.58,10.32,0.1,9.29,1.03,1.71
267,44,50,2020-03-12,18,8,1.69,13.52,0.01,12.17,1.35,0.85
268,83,50,2020-02-18,5,8,3.65,29.2,0.19,26.28,2.92,3.63
269,52,2,2020-04-01,4,4,9.85,39.4,0.07,35.46,3.94,1.62
270,62,10,2020-01-14,21,9,2.47,22.23,0.11,20.01,2.22,2.18
271,49,20,2020-04-09,12,5,6.16,30.8,0.03,27.72,3.08,3.29
272,53,26,2020-03-07,5,3,5.27,15.81,0.1,14.23,1.58,1.74
273,46,47,2020-01-09,10,8,18.89,151.12,0.0,136.01,15.11,3.13
274,68,20,2020-01-30,21,3,17.06,51.18,0.01,46.06,5.12,2.93
275,12,34,2020-02-23,13,1,3.63,3.63,0.06,3.27,0.36,0.51
276,43,23,2020-02-26,16,7,10.11,70.77,0.2,63.69,7.08,3.7
277,46,50,2020-02-01,6,7,12.32,86.24,0.15,77.62,8.62,0.88
278,41,32,2020-03-02,15,4,8.94,35.76,0.16,32.18,3.58,1.05
279,8,21,2020-03-08,23,6,8.7,52.2,0.03,46.98,5.22,2.52
280,82,31,2020-02-26,1,7,7.3,51.1,0.16,45.99,5.11,1.71
281,47,22,2020-01-01,10,3,16.56,49.68,0.1,44.71,4.97,1.87
282,24,1,2020-02-24,16,8,2.68,21.44,0.18,19.3,2.14,4.91
283,46,40,2020-02-21,21,8,5.44,43.52,0.08,39.17,4.35,0.89
284,98,35,2020-01-27,20,7,16.96,118.72,0.17,106.85,11.87,0.88
285,29,23,2020-02-02,16,2,13.87,27.74,0.14,24.97,2.77,1.06
286,39,27,2020-01-07,19,3,14.31,42.93,0.13,38.64,4.29,4.15
287,30,34,2020-01-26,21,3,11.32,33.96,0.08,30.56,3.4,2.63
288,23,39,2020-02-13,8,9,12.01,108.09,0.17,97.28,10.81,4.45
289,99,22,2020-03-28,10,7,17.6,123.2,0.12,110.88,12.32,3.83
290,18,41,2020-01-02,3,10,17.37,173.7,0.19,156.33,17.37,3.37
291,93,2,2020-01-15,13,7,2.09,14.63,0.02,13.17,1.46,4.84
292,49,29,2020-02-04,8,1,4.23,4.23,0.18,3.81,0.42,4.23
293,73,50,2020-03-14,2,7,2.67,18.69,0.09,16.82,1.87,1.08
294,8,27,2020-01-21,17,3,9.91,29.73,0.05,26.76,2.97,3.94
295,92,29,2020-03-19,8,7,5.88,41.16,0.17,37.04,4.12,2.98
296,17,17,2020-04-01,20,7,6.0,42.0,0.06,37.8,4.2,1.54
297,91,41,2020-03-11,1,2,11.18,22.36,0.0,20.12,2.24,4.88
298,10,49,2020-02-17,20,2,5.57,11.14,0.2,10.03,1.11,4.02
299,8,30,2020-03-07,3,9,4.88,43.92,0.14,39.53,4.39,1.57
300,27,20,2020-03-30,5,1,17.92,17.92,0.03,16.13,1.79,1.79
301,97,5,2020-02-27,2,10,18.47,184.7,0.16,166.23,18.47,2.75
302,60,11,2020-03-26,3,10,1.89,18.9,0.05,17.01,1.89,2.27
303,60,6,2020-03-06,20,3,3.64,10.92,0.02,9.83,1.09,1.72
304,94,28,2020-03-12,8,2,19.78,39.56,0.08,35.6,3.96,0.6
305,51,11,2020-03-24,3,9,18.94,170.46,0.19,153.41,17.05,4.68
306,34,24,2020-01-12,9,7,5.65,39.55,0.02,35.59,3.96,4.8
307,35,2,2020-02-20,16,3,1.22,3.66,0.06,3.29,0.37,1.68
308,11,27,2020-01-01,10,2,5.63,11.26,0.02,10.13,1.13,2.89
309,27,30,2020-02-16,2,5,16.62,83.1,0.19,74.79,8.31,4.51
310,64,45,2020-01-08,16,4,5.88,23.52,0.12,21.17,2.35,2.47
311,43,16,2020-01-04,5,6,19.54,117.24,0.04,105.52,11.72,0.92
312,98,6,2020-03-02,20,1,5.86,5.86,0.2,5.27,0.59,1.03
313,15,42,2020-03-10,1,8,14.15,113.2,0.12,101.88,11.32,3.0
314,85,3,2020-01-01,1,10,2.88,28.8,0.16,25.92,2.88,0.85
315,90,49,2020-01-09,9,5,18.14,90.7,0.01,81.63,9.07,1.85
316,25,12,2020-02-05,15,5,17.94,89.7,0.02,80.73,8.97,4.33
317,88,10,2020-02-17,10,2,9.01,18.02,0.2,16.22,1.8,2.74
318,93,34,2020-02-02,10,1,4.36,4.36,0.02,3.92,0.44,3.37
319,88,16,2020-01-29,3,1,8.59,8.59,0.15,7.73,0.86,4.15
320,71,27,2020-02-26,18,3,10.24,30.72,0.14,27.65,3.07,1.62
321,99,19,2020-02-12,6,2,8.25,16.5,0.06,14.85,1.65,1.02
322,90,14,2020-01-08,10,5,9.28,46.4,0.05,41.76,4.64,4.53
323,32,35,2020-02-15,6,6,19.37,116.22,0.15,104.6,11.62,1.57
324,1,33,2020-01-02,3,9,6.76,60.84,0.11,54.76,6.08,2.95
325,78,33,2020-01-26,18,3,14.6,43.8,0.04,39.42,4.38,2.63
326,17,24,2020-01-08,22,10,11.69,116.9,0.16,105.21,11.69,2.47
327,19,28,2020-01-25,9,7,12.96,90.72,0.04,81.65,9.07,0.71
328,45,2,2020-02-03,5,1,10.57,10.57,0.13,9.51,1.06,3.02
329,24,37,2020-01-19,9,2,2.07,4.14,0.06,3.73,0.41,3.71
330,92,5,2020-01-10,0,10,15.43,154.3,0.02,138.87,15.43,4.8
331,14,47,2020-02-27,5,10,17.39,173.9,0.04,156.51,17.39,4.64
332,94,6,2020-03-10,8,6,16.45,98.7,0.1,88.83,9.87,4.2
333,77,18,2020-02-20,7,5,12.85,64.25,0.07,57.83,6.42,1.94
334,74,11,2020-03-25,18,6,10.35,62.1,0.17,55.89,6.21,2.71
335,15,10,2020-02-29,9,8,3.36,26.88,0.18,24.19,2.69,4.22
336,36,25,2020-01-21,6,8,17.55,140.4,0.2,126.36,14.04,1.72
